# MD Simulator 0.1
# -------------------------------
# Set up simulation box
# Simulation box properties:
# Lx=   5.3970000000000002      Nx=           5
# Ly=   5.3970000000000002      Ny=           5
# Lz=   5.3970000000000002      Nz=           5
# Set up particles
# Starting MD run
# Uc=  -6.2242255115239169E-003 Fc=  -4.3230710625990713E-003
# Um=   16128.000000000000      Fm=   780288.00000000000     
# Target T=   200.00000000000000      K=   103.40862000000000     
     1    1.039008E+02   -3.183439E+02 -2.688591E-02
     2    1.029065E+02   -3.168284E+02  4.499755E-01
     3    1.018804E+02   -3.142682E+02  1.596321E+00
     4    1.007919E+02   -3.105832E+02  2.864212E+00
     5    9.960135E+01   -3.056683E+02  4.150121E+00
     6    9.827661E+01   -2.994166E+02  5.414632E+00
     7    9.680432E+01   -2.917577E+02  6.643122E+00
     8    9.521050E+01   -2.827199E+02  7.785494E+00
     9    9.359311E+01   -2.725154E+02  8.885276E+00
    10    9.215749E+01   -2.616142E+02  9.810472E+00
    11    9.122090E+01   -2.507399E+02  1.045367E+01
    12    9.113223E+01   -2.407347E+02  1.082415E+01
    13    9.209180E+01   -2.323271E+02  1.075538E+01
    14    9.397461E+01   -2.259161E+02  1.041087E+01
    15    9.633162E+01   -2.214841E+02  9.791541E+00
    16    9.861041E+01   -2.186724E+02  9.112751E+00
    17    1.004154E+02   -2.169678E+02  8.414146E+00
    18    1.016146E+02   -2.158848E+02  7.783074E+00
    19    1.022770E+02   -2.150542E+02  7.155491E+00
    20    1.025476E+02   -2.142362E+02  6.737905E+00
    21    1.025697E+02   -2.133055E+02  6.422294E+00
    22    1.024619E+02   -2.122247E+02  6.133221E+00
    23    1.023131E+02   -2.110063E+02  5.970483E+00
    24    1.021729E+02   -2.096714E+02  5.840941E+00
    25    1.020560E+02   -2.082778E+02  5.719098E+00
    26    1.020014E+02   -2.069612E+02  5.678975E+00
    27    1.020812E+02   -2.058861E+02  5.568768E+00
    28    1.023228E+02   -2.051520E+02  5.375734E+00
    29    1.026620E+02   -2.047351E+02  5.243934E+00
    30    1.029772E+02   -2.045076E+02  5.117750E+00
    31    1.031674E+02   -2.043168E+02  5.043556E+00
    32    1.032085E+02   -2.040653E+02  4.930527E+00
    33    1.031539E+02   -2.037436E+02  4.787710E+00
    34    1.030881E+02   -2.034088E+02  4.727148E+00
    35    1.030764E+02   -2.031393E+02  4.698786E+00
    36    1.031411E+02   -2.029947E+02  4.632962E+00
    37    1.032629E+02   -2.029772E+02  4.554337E+00
    38    1.033857E+02   -2.030189E+02  4.479654E+00
    39    1.034427E+02   -2.030225E+02  4.409674E+00
    40    1.034074E+02   -2.029329E+02  4.290170E+00
    41    1.033201E+02   -2.027836E+02  4.157394E+00
    42    1.032658E+02   -2.026827E+02  3.998540E+00
    43    1.033146E+02   -2.027363E+02  3.931399E+00
    44    1.034637E+02   -2.029688E+02  3.708038E+00
    45    1.036368E+02   -2.033191E+02  3.557799E+00
    46    1.037525E+02   -2.037012E+02  3.293209E+00
    47    1.037853E+02   -2.040504E+02  3.140745E+00
    48    1.037543E+02   -2.043365E+02  3.092399E+00
    49    1.036940E+02   -2.045721E+02  3.100099E+00
    50    1.036467E+02   -2.048127E+02  3.114718E+00
    51    1.036531E+02   -2.051287E+02  3.160259E+00
    52    1.037254E+02   -2.055474E+02  3.304249E+00
    53    1.038219E+02   -2.060172E+02  3.353544E+00
    54    1.038697E+02   -2.064483E+02  3.338705E+00
    55    1.038327E+02   -2.067734E+02  3.494768E+00
    56    1.037297E+02   -2.069644E+02  3.618545E+00
    57    1.035988E+02   -2.070334E+02  3.727417E+00
    58    1.034808E+02   -2.070386E+02  3.757005E+00
    59    1.034187E+02   -2.070555E+02  3.907019E+00
    60    1.034275E+02   -2.071157E+02  4.011232E+00
    61    1.034665E+02   -2.071884E+02  4.000496E+00
    62    1.034779E+02   -2.072241E+02  3.919248E+00
    63    1.034422E+02   -2.071915E+02  3.956157E+00
    64    1.033763E+02   -2.070940E+02  3.906338E+00
    65    1.033140E+02   -2.069740E+02  3.872692E+00
    66    1.032926E+02   -2.068910E+02  3.845313E+00
    67    1.033278E+02   -2.068767E+02  3.843631E+00
    68    1.033927E+02   -2.069096E+02  3.826041E+00
    69    1.034379E+02   -2.069394E+02  3.823524E+00
    70    1.034359E+02   -2.069310E+02  3.894730E+00
    71    1.034004E+02   -2.068888E+02  3.978919E+00
    72    1.033690E+02   -2.068504E+02  3.949642E+00
    73    1.033729E+02   -2.068572E+02  3.918699E+00
    74    1.034166E+02   -2.069290E+02  3.833753E+00
    75    1.034795E+02   -2.070545E+02  3.673811E+00
    76    1.035310E+02   -2.071921E+02  3.578995E+00
